*** London (366) ***
Status: Under Construction
Started: 2016
Functions: residential
Rank: 116

*** Knightsbridge Barracks ***
Height: 94
Floors: 32
Status: Completed
Completed: 1970
Functions: residential
Rank: 117

*** Holiday Inn Kensington Forum ***
Height: 93.9
Floors: 28
Status: Completed
Completed: 1972
Functions: hotel
Rank: 118

*** Stratford Plaza ***
Height: 93
Floors: 23
Status: Completed
Started: 2013
Completed: 2015
Functions: residential / office / retail
Rank: 119

*** Kew Eye ***
Height: 92.9
Floors: 27
Status: Completed
Completed: 2014
Functions: observation / residential / hotel
Rank: 120

*** 206-214 High Street ***
Height: 92.6
Floors: 26
Status: Under Construction
Started: 2016
Completed: 2018
Functions: residential
Rank: 121

*** Conquest Tower ***
Height: 92.3
Floors: 28
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 122

*** 20 Gracechurch ***
Height: 91.74
Floors: 17
Status: Completed
Completed: 1994
Functions: office
Rank: 123

*** London Hilton Metropole ***
Height: 91.5
Floors: 28
Status: Completed
Completed: 1972
Functions: hotel
Rank: 124

*** Duncan House ***
Height: 91.4
Floors: 32
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential / education
Rank: 125

*** Lombard Wharf ***
Height: 91.19
Floors: 28
Status: Completed
Completed: 2017
Functions: residential
Rank: 126

*** 200 Aldersgate Street ***
Height: 91
Floors: 21
Status: Completed
Completed: 1992
Functions: office
Rank: 127

*** 70 St. Mary Axe ***
Height: 90.5
Floors: 22
Status: Architecturally Topped Out
Started: 2015
Completed: 2019
Functions: office
Rank: 128

*** Stratford Riverside ***
Height: 90.25
Floors: 29
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 129

*** Nine Elms Point, Doulton Point ***
Height: 90
Floors: 25
Status: Completed
Started: 2014
Completed: 2017
Functions: residential
Rank: 130

*** Harbour Central-Block B2 ***
Height: 89.4
Floors: 25
Status: Architecturally Topped Out
Completed: 2019
Functions: residential
Rank: 131

*** 11 Mapleton Crescent ***
Height: 89.24
Floors: 27
Status: Under Construction
Started: 2016
Functions: residential
Rank: 132

*** International Quarter Site S5 ***
Height: 88
Floors: 20
Status: Completed
Started: 2015
Completed: 2017
Functions: office
Rank: 133

*** City Island-Caledonia House ***
Height: 87.8
Floors: 25
Status: Under Construction
Completed: 2018
Functions: residential
Rank: 134

