*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
Floors: 19
Status: Completed
Started: 1978
Completed: 1980
Functions: office
Rank: 65

*** St Leonards Square (The Jackson) ***
Height: 133
Floors: 40
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 66

*** St Martins Tower ***
Height: 133
Floors: 36
Status: Completed
Started: 1973
Completed: 1975
Functions: office
Rank: 67

*** Sofitel Sydney Darling Harbour ***
Height: 132
Floors: 38
Status: Completed
Started: 2015
Completed: 2017
Functions: hotel
Rank: 68

*** Civic Tower ***
Height: 132
Floors: 35
Status: Completed
Started: 1992
Completed: 1994
Functions: office
Rank: 69

*** British Telecom Building ***
Height: 132
Floors: 32
Status: Completed
Started: 1989
Completed: 1991
Functions: office
Rank: 70

*** Hilton Sydney ***
Height: 131
Floors: 45
Status: Completed
Completed: 1974
Functions: hotel
Rank: 71

*** Northpoint Tower ***
Height: 131
Floors: 35
Status: Completed
Started: 1978
Completed: 1980
Functions: office
Rank: 72

*** IAG house ***
Height: 131
Floors: 32
Status: Completed
Completed: 1976
Functions: office
Rank: 73

*** Sydney Harbour Marriott Hotel ***
Height: 130
Floors: 32
Status: Completed
Completed: 1988
Functions: hotel
Rank: 74

*** Inmark Tower ***
Height: 129
Floors: 36
Status: Completed
Started: 2008
Completed: 2011
Functions: residential
Rank: 75

*** Aon Center ***
Height: 128
Floors: 35
Status: Completed
Completed: 1988
Functions: office
Rank: 76

*** Shangri-La Hotel ***
Height: 127
Floors: 37
Status: Completed
Completed: 1992
Functions: hotel
Rank: 77

*** Bligh Chambers ***
Height: 127
Floors: 35
Status: Completed
Completed: 1978
Functions: office
Rank: 78

*** 255 George Street ***
Height: 127
Floors: 32
Status: Completed
Completed: 1986
Functions: office
Rank: 79

*** KPMG Centre ***
Height: 127
Floors: 30
Status: Completed
Started: 1990
Completed: 1992
Functions: office
Rank: 80

*** Centrium Tower One ***
Height: 126
Floors: 38
Status: Completed
Started: 2013
Completed: 2015
Functions: residential
Rank: 81

*** Commonwealth Bank of Australia Tower ***
Height: 126
Floors: 32
Status: Completed
Started: 1990
Completed: 1992
Functions: office
Rank: 82

*** Price Waterhouse Coopers Tower ***
Height: 126
Floors: 32
Status: Completed
Completed: 1999
Functions: office
Rank: 82

*** Boomerang Tower ***
Height: 125.75
Floors: 39
Status: Under Construction
Started: 2018
Completed: 2019
Functions: residential
Rank: 84

*** 177 Pacific Highway ***
Height: 125
Floors: 32
Status: Completed
Started: 2014
Completed: 2016
Functions: office
Rank: 85

*** Amora Jamison Hotel ***
Height: 123
Floors: 38
Status: Completed
Completed: 1999
Functions: hotel
Rank: 86

*** One30 Hyde Park ***
Height: 123
Floors: 38
Status: Completed
Started: 2016
Completed: 2019
Functions: residential / retail
Rank: 86

*** National Mutual Centre ***
Height: 123
Floors: 32
Status: Completed
Completed: 1978
Functions: office
Rank: 88

*** Stockland Centre ***
Height: 123
Floors: 31
Status: Completed
Started: 1990
Completed: 1992
Functions: office
Rank: 89

*** Castle Residences ***
Height: 121
Floors: 35
Status: Under Construction
Started: 2017
Completed: 2019
Functions: office / residential
Rank: 90

*** University of Technology Building ***
Height: 121
Floors: 33
Status: Completed
Started: 1976
Completed: 1978
Functions: education
Rank: 91

*** Observatory Tower ***
Height: 121
Floors: 29
Status: Completed
Completed: 1964
Functions: residential
Rank: 92

*** Pavilions ***
Height: 120
Floors: 36
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential
Rank: 93

*** 1 Martin Place ***
Height: 120
Floors: 35
Status: Completed
Completed: 1999
Functions: hotel / office
Rank: 94

*** The Hyde ***
Height: 120
Floors: 34
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 95

*** Optus Plaza ***
Height: 120
Floors: 29
Status: Completed
Started: 1990
Completed: 1992
Functions: office / retail
Rank: 96

*** Princeton Apartments ***
Height: 119
Floors: 38
Status: Completed
Started: 1994
Completed: 1995
Functions: residential
Rank: 97

*** 175 Liverpool Street ***
Height: 119
Floors: 33
Status: Completed
Completed: 1981
Functions: office
Rank: 98

